Country,Year,Bronze,Gold,Silver,Total_Medals,Total_Medals_Across_Years
AUS,1976,8,0,16,24,912
AUS,1980,5,5,2,12,912
AUS,1984,29,7,14,50,912
AUS,1988,10,18,6,34,912
AUS,1992,16,14,27,57,912
AUS,1996,84,32,16,132,912
AUS,2000,54,60,69,183,912
AUS,2004,30,49,78,157,912
AUS,2008,76,31,42,149,912
AUS,2012,59,19,36,114,912
BRA,1976,3,0,0,3,377
BRA,1980,5,4,0,9,377
BRA,1984,2,1,34,37,377
BRA,1988,5,1,22,28,377
BRA,1992,0,13,1,14,377
BRA,1996,44,5,15,64,377
BRA,2000,36,0,12,48,377
BRA,2004,3,18,19,40,377
BRA,2008,27,14,34,75,377
BRA,2012,11,14,34,59,377
CHN,1984,37,26,13,76,807
CHN,1988,31,6,16,53,807
CHN,1992,19,18,46,83,807
CHN,1996,17,19,74,110,807
CHN,2000,17,39,23,79,807
CHN,2004,15,52,27,94,807
CHN,2008,57,74,53,184,807
CHN,2012,28,56,44,128,807
ESP,1976,0,0,6,6,393
ESP,1980,3,2,19,24,393
ESP,1984,3,2,14,19,393
ESP,1988,2,1,2,5,393
ESP,1992,2,44,20,66,393
ESP,1996,22,24,21,67,393
ESP,2000,20,3,20,43,393
ESP,2004,8,4,15,27,393
ESP,2008,16,7,48,71,393
ESP,2012,25,6,34,65,393
FRA,1976,8,5,7,20,531
FRA,1980,6,18,5,29,531
FRA,1984,31,21,16,68,531
FRA,1988,13,12,4,29,531
FRA,1992,43,9,5,57,531
FRA,1996,20,21,10,51,531
FRA,2000,14,22,30,66,531
FRA,2004,22,21,10,53,531
FRA,2008,28,25,23,76,531
FRA,2012,22,30,30,82,531
GBR,1976,11,6,15,32,593
GBR,1980,22,5,18,45,593
GBR,1984,43,9,20,72,593
GBR,1988,15,22,16,53,593
GBR,1992,39,8,3,50,593
GBR,1996,9,2,15,26,593
GBR,2000,13,22,20,55,593
GBR,2004,15,17,25,57,593
GBR,2008,21,31,25,77,593
GBR,2012,48,48,30,126,593
GER,1992,60,81,57,198,785
GER,1996,47,42,35,124,785
GER,2000,65,31,23,119,785
GER,2004,63,41,45,149,785
GER,2008,43,42,16,101,785
GER,2012,21,45,28,94,785
HUN,1976,35,14,6,55,394
HUN,1980,40,8,13,61,394
HUN,1988,15,20,9,44,394
HUN,1992,8,14,23,45,394
HUN,1996,26,8,9,43,394
HUN,2000,4,25,24,53,394
HUN,2004,4,24,12,40,394
HUN,2008,3,16,8,27,394
HUN,2012,6,12,8,26,394
ITA,1976,4,2,25,31,554
ITA,1980,8,8,21,37,554
ITA,1984,28,29,6,63,554
ITA,1988,8,11,10,29,554
ITA,1992,14,22,10,46,554
ITA,1996,28,19,24,71,554
ITA,2000,29,22,14,65,554
ITA,2004,39,24,39,102,554
ITA,2008,20,8,14,42,554
ITA,2012,30,16,22,68,554
JPN,1976,10,25,6,41,472
JPN,1984,31,10,8,49,472
JPN,1988,13,4,3,20,472
JPN,1992,36,3,8,47,472
JPN,1996,14,3,26,43,472
JPN,2000,8,5,30,43,472
JPN,2004,53,21,20,94,472
JPN,2008,17,23,11,51,472
JPN,2012,33,7,44,84,472
KOR,1976,15,1,1,17,517
KOR,1984,7,6,29,42,517
KOR,1988,12,28,37,77,517
KOR,1992,16,28,5,49,517
KOR,1996,7,10,49,66,517
KOR,2000,35,12,26,73,517
KOR,2004,10,14,28,52,517
KOR,2008,26,41,11,78,517
KOR,2012,32,18,13,63,517
NED,1976,13,0,2,15,497
NED,1980,5,0,1,6,497
NED,1984,14,20,6,40,497
NED,1988,36,3,5,44,497
NED,1992,8,5,20,33,497
NED,1996,26,38,9,73,497
NED,2000,23,27,29,79,497
NED,2004,22,4,50,76,497
NED,2008,4,40,18,62,497
NED,2012,19,21,29,69,497
ROU,1976,23,4,28,55,498
ROU,1980,50,7,15,72,498
ROU,1984,35,40,31,106,498
ROU,1988,13,8,30,51,498
ROU,1992,14,8,31,53,498
ROU,1996,15,13,10,38,498
ROU,2000,13,27,6,46,498
ROU,2004,11,23,5,39,498
ROU,2008,16,5,1,22,498
ROU,2012,6,2,8,16,498
URS/RUS,1976,79,113,93,285,1789
URS/RUS,1980,123,192,127,442,1789
URS/RUS,1988,95,134,65,294,1789
URS/RUS,1996,34,36,45,115,1789
URS/RUS,2000,54,66,68,188,1789
URS/RUS,2004,96,47,49,192,1789
URS/RUS,2008,56,43,44,143,1789
URS/RUS,2012,51,47,32,130,1789
USA,1976,36,63,56,155,2242
USA,1984,50,168,115,333,2242
USA,1988,52,77,64,193,2242
USA,1992,85,89,50,224,2242
USA,1996,52,160,48,260,2242
USA,2000,52,130,66,248,2242
USA,2004,73,116,75,264,2242
USA,2008,81,125,109,315,2242
USA,2012,46,147,57,250,2242
